iter	Passed	Remaining
431	1650	5991
432	1654	5985
433	1657	5980
434	1660	5975
435	1664	5971
436	1667	5965
437	1671	5960
438	1674	5955
439	1678	5951
440	1682	5946
441	1685	5942
442	1689	5936
443	1692	5932
444	1696	5927
445	1699	5923
446	1703	5917
447	1706	5913
448	1710	5907
449	1713	5902
450	1717	5897
451	1720	5892
452	1724	5887
453	1727	5882
454	1730	5877
455	1734	5872
456	1737	5867
457	1741	5861
458	1744	5856
459	1748	5852
460	1751	5847
461	1755	5844
462	1761	5848
463	1767	5852
464	1774	5856
465	1782	5867
466	1786	5864
467	1790	5862
468	1794	5857
469	1797	5852
470	1801	5849
471	1805	5845
472	1809	5840
473	1812	5836
474	1816	5831
475	1819	5826
476	1823	5820
477	1826	5815
478	1829	5810
479	1833	5805
480	1836	5800
481	1840	5796
482	1843	5791
483	1847	5786
484	1850	5781
485	1854	5776
486	1857	5772
487	1861	5767
488	1865	5763
489	1868	5758
490	1872	5753
491	1875	5748
492	1879	5744
493	1883	5740
494	1886	5736
495	1890	5731
496	1893	5726
497	1897	5721
498	1900	5716
499	1904	5712
500	1907	5707
501	1910	5702
502	1914	5697
503	1917	5692
504	1921	5688
505	1924	5682
506	1928	5677
507	1931	5673
508	1935	5668
509	1938	5663
510	1942	5658
511	1945	5654
512	1951	5657
513	1957	5659
514	1963	5661
515	1969	5664
516	1977	5671
517	1980	5666
518	1984	5662
519	1988	5658
520	1992	5656
521	1997	5656
522	2001	5652
523	2005	5647
524	2008	5643
525	2012	5638
526	2015	5634
527	2019	5630
528	2023	5625
529	2027	5622
530	2030	5618
531	2034	5614
532	2038	5610
533	2042	5606
534	2045	5601
535	2049	5597
536	2053	5593
537	2056	5589
538	2060	5585
539	2064	5580
540	2067	5576
541	2071	5573
542	2075	5569
543	2079	5564
544	2083	5561
545	2086	5557
546	2090	5552
547	2094	5549
548	2097	5544
549	2101	5540
550	2104	5535
551	2108	5531
552	2112	5526
553	2115	5521
554	2119	5517
555	2122	5512
556	2125	5507
557	2129	5503
558	2133	5499
559	2137	5497
560	2143	5499
561	2149	5501
562	2158	5509
563	2162	5505
564	2167	5504
565	2172	5503
566	2175	5499
567	2179	5494
568	2182	5490
569	2186	5485
570	2190	5481
571	2193	5476
572	2197	5473
573	2201	5469
574	2204	5464
575	2208	5460
576	2212	5456
577	2215	5451
578	2219	5446
579	2223	5443
580	2227	5439
581	2230	5435
582	2234	5431
583	2238	5427
584	2242	5422
585	2245	5418
586	2249	5414
587	2252	5409
588	2256	5405
589	2260	5401
590	2263	5397
591	2267	5392
592	2271	5388
593	2274	5384
594	2279	5382
595	2283	5378
596	2286	5374
597	2290	5370
598	2294	5366
599	2298	5362
600	2301	5357
601	2305	5353
602	2308	5348
603	2312	5344
604	2315	5339
605	2319	5335
606	2323	5331
607	2326	5327
608	2331	5325
609	2337	5327
610	2344	5328
611	2352	5336
612	2357	5333
613	2361	5331
614	2365	5327
615	2369	5323
616	2374	5322
617	2378	5318
618	2381	5313
619	2385	5309
620	2388	5304
621	2392	5300
622	2395	5295
623	2399	5291
624	2402	5286
625	2406	5282
626	2410	5278
627	2413	5273
628	2417	5269
629	2420	5264
630	2424	5259
631	2427	5254
632	2431	5250
633	2434	5246
634	2438	5241
635	2441	5236
636	2445	5232
637	2448	5227
638	2452	5222
639	2455	5218
640	2459	5213
641	2462	5208
642	2466	5204
643	2469	5200
644	2473	5195
645	2476	5191
646	2480	5186
647	2483	5182
648	2487	5178
649	2490	5173
650	2494	5168
651	2498	5164
652	2501	5160
653	2505	5155
654	2508	5151
655	2512	5147
656	2516	5143
657	2519	5139
658	2525	5138
659	2531	5140
660	2537	5140
661	2543	5141
662	2550	5143
663	2554	5139
664	2558	5136
665	2563	5133
666	2567	5130
667	2571	5126
668	2574	5122
669	2578	5118
670	2582	5113
671	2585	5109
672	2588	5104
673	2592	5100
674	2596	5096
675	2599	5091
676	2603	5087
677	2606	5083
678	2610	5078
679	2613	5074
680	2617	5069
681	2620	5064
682	2624	5060
683	2627	5055
684	2631	5051
685	2634	5046
686	2638	5042
687	2641	5037
688	2645	5033
689	2648	5029
690	2652	5024
691	2656	5021
692	2665	5026
693	2670	5024
694	2674	5022
695	2679	5019
696	2684	5017
697	2688	5015
698	2693	5013
699	2700	5015
700	2705	5013
701	2710	5012
702	2715	5010
703	2725	5018
704	2736	5027
705	2747	5035
706	2756	5040
707	2761	5039
708	2769	5043
709	2776	5044
710	2784	5048
711	2788	5044
712	2792	5040
713	2796	5036
714	2799	5031
715	2803	5027
716	2807	5023
717	2811	5019
718	2814	5014
719	2818	5010
720	2821	5005
721	2825	5001
722	2829	4997
723	2833	4993
724	2837	4989
725	2840	4984
726	2844	4980
727	2848	4976
728	2851	4971
729	2856	4969
730	2859	4964
731	2863	4960
732	2867	4955
733	2870	4951
734	2874	4947
735	2878	4942
736	2881	4938
737	2885	4933
738	2889	4929
739	2892	4925
740	2896	4921
741	2900	4916
742	2903	4912
743	2907	4908
744	2914	4909
745	2920	4908
746	2923	4904
747	2928	4901
748	2936	4904
749	2939	4899
750	2944	4897
751	2948	4893
752	2952	4889
753	2956	4886
754	2960	4882
755	2964	4878
756	2968	4873
757	2972	4869
758	2975	4864
759	2979	4860
760	2982	4856
761	2986	4852
762	2990	4848
763	2993	4843
764	2997	4839
765	3001	4834
766	3004	4830
767	3008	4825
768	3011	4820
769	3014	4816
770	3018	4812
771	3022	4807
772	3025	4803
773	3029	4798
774	3033	4794
775	3036	4790
776	3040	4785
777	3044	4781
778	3049	4779
779	3053	4775
780	3057	4771
781	3060	4767
782	3064	4763
783	3068	4758
784	3071	4754
785	3075	4749
786	3078	4745
787	3082	4740
788	3085	4736
789	3089	4731
790	3092	4727
791	3096	4723
792	3102	4721
793	3108	4721
794	3115	4721
795	3122	4723
796	3127	4720
797	3131	4716
798	3135	4713
799	3139	4709
800	3143	4705
801	3147	4701
802	3151	4697
803	3154	4692
804	3158	4688
805	3162	4684
806	3165	4679
807	3169	4675
808	3172	4671
809	3176	4666
810	3180	4662
811	3184	4658
812	3187	4653
813	3190	4649
814	3194	4644
815	3198	4640
816	3201	4635
817	3205	4631
818	3209	4627
819	3213	4624
820	3216	4619
821	3220	4614
822	3223	4610
823	3227	4606
824	3230	4601
825	3234	4597
826	3238	4592
827	3241	4588
828	3245	4584
829	3249	4580
830	3252	4575
831	3256	4571
832	3259	4566
833	3263	4562
834	3266	4557
835	3270	4553
836	3273	4548
837	3277	4544
838	3280	4539
839	3284	4535
840	3288	4531
841	3291	4527
842	3297	4525
843	3303	4524
844	3310	4524
845	3318	4526
846	3325	4527
847	3329	4523
848	3333	4518
849	3337	4515
850	3341	4511
851	3345	4507
852	3348	4503
853	3352	4499
854	3356	4494
855	3359	4490
856	3363	4486
857	3367	4481
858	3371	4477
859	3374	4473
860	3378	4469
861	3382	4465
862	3385	4460
863	3389	4456
864	3392	4451
865	3396	4447
866	3399	4443
867	3403	4438
868	3407	4434
869	3410	4429
870	3413	4425
871	3417	4420
872	3421	4416
873	3425	4412
874	3428	4408
875	3432	4403
876	3435	4399
877	3439	4395
878	3443	4391
879	3446	4386
880	3450	4382
881	3454	4378
882	3457	4373
883	3461	4369
884	3464	4364
885	3468	4360
886	3471	4356
887	3475	4352
888	3479	4348
889	3482	4343
890	3486	4339
891	3491	4337
892	3497	4335
893	3503	4334
894	3509	4332
895	3517	4334
896	3521	4330
897	3525	4326
898	3530	4324
899	3534	4320
900	3538	4315
901	3542	4311
902	3545	4307
903	3549	4303
904	3553	4299
905	3556	4294
906	3560	4290
907	3563	4286
908	3567	4281
909	3571	4277
910	3574	4273
911	3578	4268
912	3581	4264
913	3585	4260
914	3588	4255
915	3592	4251
916	3596	4247
917	3599	4243
918	3603	4238
919	3606	4234
920	3610	4230
921	3614	4225
922	3617	4221
923	3621	4217
924	3624	4212
925	3628	4208
926	3632	4204
927	3635	4199
928	3639	4195
929	3643	4191
930	3646	4187
931	3650	4183
932	3653	4178
933	3657	4174
934	3660	4169
935	3664	4165
936	3668	4161
937	3671	4157
938	3675	4152
939	3679	4148
940	3683	4145
941	3690	4144
942	3695	4142
943	3699	4138
944	3705	4137
945	3711	4135
946	3715	4131
947	3720	4128
948	3723	4123
949	3727	4119
950	3731	4115
951	3734	4111
952	3738	4107
953	3742	4103
954	3745	4098
955	3749	4094
956	3753	4090
957	3756	4086
958	3760	4082
959	3764	4077
960	3767	4073
961	3771	4069
962	3775	4065
963	3779	4061
964	3783	4057
965	3787	4053
966	3791	4050
967	3795	4046
968	3798	4041
969	3803	4038
970	3810	4037
971	3814	4033
972	3817	4029
973	3821	4025
974	3825	4021
975	3829	4018
976	3833	4013
977	3837	4010
978	3841	4006
979	3844	4001
980	3848	3997
981	3852	3993
982	3856	3990
983	3860	3985
984	3864	3982
985	3868	3978
986	3872	3974
987	3877	3972
988	3886	3972
989	3893	3972
990	3900	3971
991	3904	3967
992	3909	3964
993	3913	3960
994	3917	3956
995	3920	3952
996	3924	3948
997	3928	3944
998	3932	3939
999	3935	3935
1000	3939	3931
1001	3942	3926
1002	3945	3922
1003	3949	3918
1004	3953	3914
1005	3956	3909
1006	3960	3905
1007	3964	3901
1008	3967	3896
1009	3970	3892
1010	3974	3887
1011	3978	3883
1012	3981	3879
1013	3985	3875
1014	3990	3872
1015	3993	3868
1016	3997	3863
1017	4000	3859
1018	4004	3855
1019	4007	3850
1020	4011	3846
1021	4015	3842
1022	4018	3837
1023	4022	3833
1024	4026	3829
1025	4029	3825
1026	4033	3821
1027	4037	3817
1028	4040	3812
1029	4044	3808
1030	4047	3804
1031	4051	3800
1032	4055	3796
1033	4058	3792
1034	4063	3788
1035	4066	3784
1036	4072	3782
1037	4078	3779
1038	4085	3778
1039	4093	3778
1040	4097	3774
1041	4100	3770
1042	4104	3766
1043	4107	3761
1044	4112	3758
1045	4116	3754
1046	4120	3750
1047	4124	3746
1048	4128	3742
1049	4132	3738
1050	4136	3734
1051	4139	3730
1052	4142	3725
1053	4146	3721
1054	4149	3717
1055	4153	3712
1056	4157	3708
1057	4160	3704
1058	4164	3700
1059	4168	3696
1060	4171	3692
1061	4175	3688
1062	4179	3684
1063	4183	3680
1064	4187	3676
1065	4190	3671
1066	4194	3667
1067	4198	3663
1068	4202	3659
1069	4206	3655
1070	4210	3652
1071	4215	3648
1072	4219	3645
1073	4222	3641
1074	4226	3636
1075	4230	3632
1076	4234	3628
1077	4238	3625
1078	4242	3620
1079	4245	3616
1080	4249	3612
1081	4253	3608
1082	4256	3604
1083	4261	3601
1084	4268	3599
1085	4274	3597
1086	4280	3595
1087	4288	3595
1088	4292	3590
1089	4296	3586
1090	4299	3582
1091	4304	3578
1092	4308	3575
1093	4311	3570
1094	4315	3566
1095	4318	3562
1096	4322	3557
1097	4325	3553
1098	4328	3548
1099	4331	3544
1100	4335	3540
1101	4339	3536
1102	4343	3532
1103	4348	3528
1104	4351	3524
1105	4355	3520
1106	4359	3516
1107	4362	3512
1108	4366	3508
1109	4370	3504
1110	4374	3500
1111	4378	3496
1112	4381	3492
1113	4385	3488
1114	4389	3483
1115	4393	3479
1116	4396	3475
1117	4400	3471
1118	4403	3467
1119	4407	3462
1120	4411	3459
1121	4415	3455
1122	4419	3451
1123	4422	3447
1124	4426	3442
1125	4430	3439
1126	4434	3434
1127	4437	3430
1128	4441	3426
1129	4445	3422
1130	4448	3418
1131	4452	3414
1132	4458	3411
1133	4465	3409
1134	4474	3410
1135	4478	3405
1136	4481	3401
1137	4485	3397
1138	4490	3394
1139	4497	3392
1140	4502	3389
1141	4508	3387
1142	4512	3383
1143	4515	3378
1144	4519	3374
1145	4522	3370
1146	4526	3365
1147	4529	3361
1148	4533	3357
1149	4538	3354
1150	4542	3350
1151	4546	3346
1152	4550	3342
1153	4555	3339
1154	4559	3336
1155	4563	3331
1156	4567	3327
1157	4570	3323
1158	4575	3319
1159	4578	3315
1160	4582	3311
1161	4585	3307
1162	4589	3303
1163	4593	3298
1164	4596	3294
1165	4600	3290
1166	4603	3286
1167	4607	3282
1168	4611	3277
1169	4614	3273
1170	4617	3268
1171	4621	3264
1172	4624	3260
1173	4627	3255
1174	4630	3251
1175	4633	3246
1176	4636	3242
1177	4639	3237
1178	4642	3232
1179	4645	3228
1180	4649	3224
1181	4654	3221
1182	4660	3218
1183	4665	3215
1184	4671	3212
1185	4676	3209
1186	4679	3205
1187	4683	3201
1188	4687	3197
1189	4690	3192
1190	4693	3188
1191	4697	3183
1192	4700	3179
1193	4703	3175
1194	4706	3170
1195	4709	3166
1196	4712	3161
1197	4715	3157
1198	4718	3152
1199	4722	3148
1200	4725	3143
1201	4728	3139
1202	4731	3134
1203	4735	3130
1204	4738	3126
1205	4741	3121
1206	4744	3117
1207	4747	3112
1208	4750	3107
1209	4753	3103
1210	4756	3098
1211	4759	3094
1212	4762	3089
1213	4765	3085
1214	4768	3080
1215	4771	3076
1216	4774	3071
1217	4777	3067
1218	4780	3063
1219	4783	3058
1220	4786	3054
1221	4790	3049
1222	4793	3045
1223	4796	3041
1224	4799	3036
1225	4802	3032
1226	4805	3027
1227	4808	3023
1228	4811	3018
1229	4815	3014
1230	4818	3010
1231	4821	3005
1232	4824	3001
1233	4827	2996
1234	4830	2992
1235	4833	2987
1236	4836	2983
1237	4840	2979
1238	4846	2976
1239	4851	2973
1240	4856	2970
1241	4862	2967
1242	4868	2965
1243	4873	2961
1244	4876	2957
1245	4879	2952
1246	4883	2948
1247	4886	2944
1248	4889	2940
1249	4892	2935
1250	4895	2931
1251	4899	2927
1252	4902	2922
1253	4905	2918
1254	4908	2913
1255	4911	2909
1256	4914	2905
1257	4917	2900
1258	4920	2896
1259	4924	2891
1260	4927	2887
1261	4930	2883
1262	4933	2878
1263	4936	2874
1264	4939	2869
1265	4942	2865
1266	4945	2861
1267	4948	2856
1268	4951	2852
1269	4954	2847
1270	4957	2843
1271	4960	2839
1272	4963	2834
1273	4966	2830
1274	4969	2826
1275	4973	2821
1276	4976	2817
1277	4979	2813
1278	4982	2808
1279	4985	2804
1280	4988	2800
1281	4991	2795
1282	4994	2791
1283	4997	2786
1284	5000	2782
1285	5004	2778
1286	5007	2774
1287	5010	2770
1288	5014	2765
1289	5017	2761
1290	5020	2757
1291	5023	2752
1292	5026	2748
1293	5029	2744
1294	5035	2741
1295	5040	2738
1296	5045	2735
1297	5051	2732
1298	5059	2730
1299	5062	2726
1300	5066	2721
1301	5069	2717
1302	5072	2713
1303	5076	2709
1304	5080	2705
1305	5083	2701
1306	5086	2696
1307	5089	2692
1308	5092	2688
1309	5095	2684
1310	5098	2679
1311	5101	2675
1312	5105	2671
1313	5108	2666
1314	5111	2662
1315	5114	2658
1316	5117	2653
1317	5120	2649
1318	5123	2645
1319	5126	2641
1320	5129	2636
1321	5132	2632
1322	5136	2628
1323	5139	2623
1324	5142	2619
1325	5145	2615
1326	5148	2611
1327	5151	2606
1328	5154	2602
1329	5157	2598
1330	5160	2594
1331	5164	2589
1332	5167	2585
1333	5170	2581
1334	5173	2576
1335	5176	2572
1336	5179	2568
1337	5182	2564
1338	5185	2559
1339	5188	2555
1340	5191	2551
1341	5194	2547
1342	5197	2542
1343	5200	2538
1344	5203	2534
1345	5206	2529
1346	5210	2525
1347	5213	2521
1348	5216	2517
1349	5219	2512
1350	5223	2509
1351	5229	2506
1352	5234	2503
1353	5242	2501
1354	5245	2497
1355	5250	2493
1356	5253	2489
1357	5256	2485
1358	5259	2480
1359	5263	2476
1360	5266	2472
1361	5269	2468
1362	5272	2464
1363	5275	2460
1364	5278	2455
1365	5281	2451
1366	5284	2447
1367	5288	2443
1368	5291	2438
1369	5294	2434
1370	5297	2430
1371	5301	2426
1372	5304	2422
1373	5307	2418
1374	5310	2413
1375	5313	2409
1376	5316	2405
1377	5319	2401
1378	5322	2396
1379	5326	2392
