iter	Passed	Remaining
0	19	39121
1	38	38341
2	57	38518
3	76	38048
4	95	37943
5	115	38307
6	134	38327
7	157	39159
8	178	39459
9	197	39312
10	217	39322
11	238	39436
12	257	39303
13	278	39490
14	297	39321
15	318	39541
16	339	39558
17	359	39554
18	379	39593
19	400	39659
20	419	39575
21	442	39761
22	461	39690
23	484	39856
24	511	40406
25	531	40338
26	553	40447
27	578	40773
28	613	41667
29	632	41525
30	653	41525
31	676	41592
32	706	42097
33	728	42150
34	755	42412
35	783	42743
36	805	42753
37	828	42777
38	851	42820
39	871	42699
40	892	42624
41	909	42387
42	925	42127
43	946	42091
44	968	42055
45	986	41921
46	1005	41787
47	1025	41696
48	1044	41586
49	1066	41596
50	1086	41519
51	1110	41609
52	1132	41617
53	1154	41609
54	1174	41531
55	1196	41541
56	1219	41561
57	1249	41852
58	1268	41732
59	1286	41609
60	1307	41561
61	1332	41639
62	1350	41511
63	1369	41421
64	1392	41457
65	1410	41329
66	1432	41337
67	1453	41299
68	1476	41327
69	1497	41285
70	1515	41173
71	1532	41050
72	1553	40998
73	1573	40948
74	1593	40902
75	1613	40847
76	1692	42270
77	1712	42197
78	1730	42086
79	1755	42128
80	1776	42078
81	1795	42002
82	1821	42068
83	1842	42028
84	1863	41994
85	1883	41928
86	1905	41901
87	1933	42013
88	1966	42222
89	1987	42180
90	2014	42265
91	2037	42264
92	2057	42196
93	2076	42100
94	2096	42038
95	2121	42080
96	2142	42030
97	2159	41914
98	2178	41839
99	2198	41771
100	2228	41901
101	2249	41851
102	2268	41776
103	2287	41706
104	2311	41722
105	2332	41670
106	2360	41769
107	2381	41714
108	2406	41743
109	2426	41693
110	2445	41623
111	2466	41571
112	2488	41548
113	2507	41482
114	2527	41429
115	2546	41366
116	2566	41299
117	2615	41716
118	2648	41870
119	2668	41799
120	2691	41790
121	2710	41716
122	2748	41949
123	2771	41926
124	2791	41876
125	2823	41995
126	2847	41991
127	2865	41914
128	2887	41878
129	2905	41798
130	2925	41742
131	2948	41725
132	2970	41703
133	2998	41755
134	3018	41705
135	3037	41626
136	3060	41623
137	3085	41634
138	3106	41591
139	3127	41553
140	3147	41491
141	3166	41431
142	3186	41377
143	3205	41315
144	3226	41273
145	3252	41296
146	3272	41248
147	3289	41165
148	3311	41143
149	3332	41104
150	3354	41077
151	3373	41018
152	3395	40992
153	3416	40956
154	3437	40921
155	3457	40870
156	3482	40879
157	3499	40803
158	3520	40761
159	3540	40711
160	3562	40695
161	3582	40643
162	3606	40641
163	3627	40610
164	3649	40584
165	3672	40570
166	3689	40498
167	3714	40500
168	3737	40487
169	3781	40703
170	3808	40739
171	3829	40700
172	3851	40676
173	3871	40627
174	3890	40569
175	3912	40548
176	3939	40573
177	3962	40563
178	3985	40547
179	4007	40522
180	4028	40488
181	4046	40424
182	4066	40375
183	4089	40364
184	4115	40372
185	4141	40390
186	4168	40418
187	4190	40391
188	4216	40406
189	4241	40406
190	4264	40385
191	4291	40416
192	4311	40364
193	4330	40318
194	4350	40271
195	4371	40239
196	4390	40185
197	4409	40127
198	4426	40062
199	4444	39998
200	4463	39948
201	4483	39903
202	4500	39842
203	4519	39792
204	4539	39749
205	4562	39729
206	4582	39693
207	4603	39657
208	4621	39606
209	4639	39548
210	4660	39518
211	4680	39476
212	4702	39454
213	4718	39381
214	4736	39326
215	4755	39274
216	4776	39249
217	4819	39396
218	4843	39386
219	4863	39353
220	4883	39309
221	4902	39266
222	4924	39241
223	4943	39194
224	4967	39189
225	4992	39192
226	5014	39165
227	5031	39108
228	5050	39059
229	5072	39033
230	5090	38983
231	5110	38948
232	5132	38923
233	5156	38912
234	5176	38875
235	5197	38847
236	5216	38804
237	5240	38798
238	5259	38751
239	5283	38745
240	5302	38698
241	5319	38644
242	5341	38620
243	5360	38576
244	5381	38550
245	5404	38535
246	5424	38496
247	5442	38449
248	5461	38409
249	5478	38349
250	5498	38316
251	5517	38274
252	5536	38227
253	5559	38213
254	5581	38192
255	5601	38159
256	5622	38133
257	5644	38110
258	5663	38068
259	5682	38029
260	5703	38000
261	5719	37943
262	5740	37910
263	5760	37877
264	5781	37853
265	5806	37853
266	5824	37802
267	5845	37775
268	5883	37857
269	5904	37832
270	5927	37817
271	5946	37775
272	5970	37767
273	5989	37728
274	6013	37721
275	6036	37706
276	6064	37724
277	6088	37716
278	6108	37677
279	6128	37648
280	6147	37608
281	6169	37587
282	6190	37557
283	6209	37521
284	6238	37538
285	6263	37535
286	6283	37506
287	6301	37456
288	6325	37449
289	6346	37425
290	6371	37420
291	6397	37419
292	6416	37384
293	6439	37367
294	6463	37354
295	6484	37329
296	6503	37289
297	6527	37279
298	6545	37238
299	6567	37213
300	6588	37191
301	6606	37144
302	6627	37115
303	6649	37095
304	6670	37072
305	6694	37063
306	6715	37036
307	6736	37007
308	6758	36987
309	6778	36953
310	6797	36918
311	6815	36871
312	6836	36845
313	6855	36812
314	6873	36769
315	6917	36865
316	6938	36837
317	6960	36817
318	6981	36788
319	6997	36737
320	7014	36692
321	7035	36661
322	7052	36614
323	7072	36583
324	7093	36556
325	7114	36531
326	7134	36499
327	7152	36458
328	7172	36427
329	7191	36391
330	7211	36361
331	7232	36334
332	7249	36292
333	7268	36255
334	7286	36213
335	7304	36175
336	7326	36156
337	7349	36139
338	7368	36103
339	7388	36074
340	7409	36048
341	7427	36009
342	7446	35971
343	7467	35948
344	7484	35905
345	7503	35869
346	7522	35834
347	7547	35831
348	7570	35811
349	7588	35776
350	7608	35745
351	7626	35704
352	7644	35668
353	7668	35656
354	7687	35624
355	7705	35585
356	7730	35576
357	7749	35545
358	7768	35508
359	7787	35475
360	7809	35454
361	7827	35419
362	7848	35394
363	7866	35355
364	7891	35349
